home_passing_ypg,home_rushing_ypg,home_total_ypg,home_points_pg,home_passing_tds_pg,home_turnovers_pg,home_injury_pct,home_def_yards_allowed,home_def_points_allowed,home_recent_points,home_points_trend,away_passing_ypg,away_rushing_ypg,away_total_ypg,away_points_pg,away_passing_tds_pg,away_turnovers_pg,away_injury_pct,away_def_yards_allowed,away_def_points_allowed,away_recent_points,away_points_trend,passing_advantage,rushing_advantage,scoring_advantage,momentum_advantage,turnover_advantage,injury_advantage,defensive_advantage,offensive_vs_defense,home_field_advantage,is_playoff,is_neutral,week,season,rest_days,is_division_game,vegas_spread,home_win,home_score,away_score,game_id
189.0,138.0,327.0,44.26,1.0,1.0,25.5,395.0,38.0,44.26,0.0,193.0,122.0,315.0,41.22,0.0,1.0,25.5,363.0,16.0,41.22,0.0,-4.0,16.0,3.039997,0.0,0.0,0.0,-22.0,28.259998321533203,2.5,1,0,2,2020,7,0,0,1,35.0,30.0,2020_2_CLE_CIN
242.0,149.0,391.0,78.78,3.0,0.0,25.5,435.0,23.0,78.78,0.0,279.0,29.0,308.0,57.96,2.0,2.0,25.5,370.0,26.0,57.96,0.0,-37.0,120.0,20.82,0.0,2.0,0.0,3.0,52.779998779296875,2.5,1,0,2,2020,7,0,0,1,17.0,13.0,2020_2_CHI_NYG
266.0,136.0,402.0,66.840004,1.0,0.0,25.5,428.0,20.0,66.840004,0.0,450.0,72.0,522.0,92.2,2.0,1.0,25.5,406.0,38.0,92.2,0.0,-184.0,64.0,-25.359993,0.0,1.0,0.0,18.0,28.840003967285156,2.5,1,0,2,2020,7,0,0,1,40.0,39.0,2020_2_DAL_ATL
364.0,158.0,522.0,112.76,4.0,0.0,25.5,393.0,34.0,112.76,0.0,297.0,138.0,435.0,69.380005,1.0,1.0,25.5,391.0,27.0,69.380005,0.0,67.0,20.0,43.379997,0.0,1.0,0.0,-7.0,85.76000213623047,2.5,1,0,2,2020,7,0,0,1,42.0,21.0,2020_2_GB_DET
363.0,88.0,451.0,71.619995,1.0,2.0,25.5,264.0,27.0,71.619995,0.0,259.0,134.0,393.0,87.659996,2.0,1.0,25.5,522.0,43.0,87.659996,0.0,104.0,-46.0,-16.04,0.0,-1.0,0.0,16.0,28.6199951171875,2.5,1,0,2,2020,7,0,0,1,28.0,11.0,2020_2_IND_MIN
191.0,87.0,278.0,37.44,0.0,3.0,25.5,372.0,21.0,37.44,0.0,312.0,98.0,410.0,75.48,2.0,0.0,25.5,267.0,17.0,75.48,0.0,-121.0,-11.0,-38.040005,0.0,-3.0,0.0,-4.0,20.439998626708984,2.5,1,0,2,2020,7,0,0,0,28.0,31.0,2020_2_MIA_BUF
215.0,52.0,267.0,47.3,1.0,1.0,25.5,410.0,27.0,47.3,0.0,259.0,123.0,382.0,68.56,2.0,0.0,25.5,410.0,24.0,68.56,0.0,-44.0,-71.0,-21.259998,0.0,-1.0,0.0,-3.0,23.299999237060547,2.5,1,0,2,2020,7,0,0,0,13.0,31.0,2020_2_NYJ_SF
270.0,57.0,327.0,57.5,2.0,2.0,25.5,258.0,27.0,57.5,0.0,275.0,153.0,428.0,63.8,0.0,1.0,25.5,402.0,17.0,63.8,0.0,-5.0,-96.0,-6.299999,0.0,-1.0,0.0,-10.0,40.5,2.5,1,0,2,2020,7,0,0,0,19.0,37.0,2020_2_PHI_LA
229.0,141.0,370.0,76.159996,3.0,0.0,25.5,308.0,16.0,76.159996,0.0,216.0,107.0,323.0,54.940002,1.0,0.0,25.5,379.0,16.0,54.940002,0.0,13.0,34.0,21.219994,0.0,0.0,0.0,0.0,60.159996032714844,2.5,1,0,2,2020,7,0,0,1,26.0,21.0,2020_2_PIT_DEN
239.0,86.0,325.0,64.06,2.0,2.0,25.5,280.0,34.0,64.06,0.0,269.0,129.0,398.0,76.56,1.0,0.0,25.5,372.0,34.0,76.56,0.0,-30.0,-43.0,-12.5,0.0,-2.0,0.0,0.0,30.05999755859375,2.5,1,0,2,2020,7,0,0,1,31.0,17.0,2020_2_TB_CAR
249.0,130.0,379.0,67.86,2.0,0.0,25.5,323.0,14.0,67.86,0.0,173.0,91.0,264.0,63.32,3.0,0.0,25.5,451.0,20.0,63.32,0.0,76.0,39.0,4.540001,0.0,0.0,0.0,6.0,47.86000061035156,2.5,1,0,2,2020,7,0,0,1,33.0,30.0,2020_2_TEN_JAX
