home_passing_ypg,home_rushing_ypg,home_total_ypg,home_points_pg,home_passing_tds_pg,home_turnovers_pg,home_injury_pct,away_passing_ypg,away_rushing_ypg,away_total_ypg,away_points_pg,away_passing_tds_pg,away_turnovers_pg,away_injury_pct,passing_advantage,rushing_advantage,scoring_advantage,turnover_advantage,injury_advantage,home_field_advantage,is_playoff,is_neutral,week,season,home_win,home_score,away_score,game_id
27.0,10.777778,37.77778,8.191112,0.3333333333333333,0.0,25.5,19.444445,7.6666665,27.11111,3.266667,0.0,0.1111111119389534,25.5,7.5555553,3.1111112,4.9244447,0.1111111119389534,0.0,2.5,1,0,2,2015,0,24.0,31.0,2015_2_KC_DEN
21.666666,16.333334,38.0,7.111111,0.1111111111111111,0.0,25.5,36.0,10.0,46.0,11.040001,0.5,0.0,25.5,-14.333334,6.333334,-3.9288898,0.0,0.0,2.5,1,0,2,2015,0,32.0,40.0,2015_2_BUF_NE
17.5,10.5,28.0,4.3,0.1,0.10000000149011612,25.5,27.833334,8.166667,36.0,6.3800006,0.16666666666666666,0.0833333358168602,25.5,-10.333334,2.333333,-2.0800004,-0.01666666567325592,0.0,2.5,1,0,2,2015,1,24.0,17.0,2015_2_CAR_HOU
25.0,21.0,46.0,7.1555557,0.1111111111111111,0.1111111119389534,25.5,27.90909,10.909091,38.81818,8.089091,0.2727272727272727,0.0,25.5,-2.90909,10.090909,-0.9335356,-0.1111111119389534,0.0,2.5,1,0,2,2015,0,23.0,48.0,2015_2_CHI_ARI
17.76923,8.0,25.76923,3.4415383,0.07692307692307693,0.07692307978868484,25.5,20.9,12.4,33.3,8.566,0.4,0.0,25.5,-3.1307697,-4.3999996,-5.1244617,-0.07692307978868484,0.0,2.5,1,0,2,2015,1,28.0,14.0,2015_2_CLE_TEN
23.1,7.1,30.2,3.744,0.0,0.10000000149011612,25.5,24.6,6.9,31.5,6.3339996,0.2,0.20000000298023224,25.5,-1.5,0.19999981,-2.5899997,0.10000000149011612,0.0,2.5,1,0,2,2015,1,26.0,16.0,2015_2_MIN_DET
39.444443,6.0,45.444443,7.0111113,0.1111111111111111,0.1111111119389534,25.5,21.0,9.2,30.2,5.46,0.2,0.20000000298023224,25.5,18.444443,-3.1999998,1.5511112,0.08888889104127884,0.0,2.5,1,0,2,2015,0,19.0,26.0,2015_2_NO_TB
18.9,9.9,28.8,4.236,0.0,0.0,25.5,33.11111,11.666667,44.77778,7.58,0.2222222222222222,0.2222222238779068,25.5,-14.211111,-1.7666674,-3.3439999,0.2222222238779068,0.0,2.5,1,0,2,2015,0,20.0,24.0,2015_2_NYG_ATL
43.875,16.75,60.625,10.0675,0.125,0.125,25.5,15.0,20.90909,35.90909,5.281818,0.0,0.0,25.5,28.875,-4.15909,4.785682,-0.125,0.0,2.5,1,0,2,2015,1,43.0,18.0,2015_2_PIT_SF
16.636364,8.727273,25.363636,3.5654547,0.09090909090909091,0.1818181872367859,25.5,25.11111,8.222222,33.333332,5.8933334,0.1111111111111111,0.0,25.5,-8.474747,0.50505066,-2.3278787,-0.1818181872367859,0.0,2.5,1,0,2,2015,1,23.0,20.0,2015_2_JAX_MIA
30.545454,5.7272725,36.272728,6.485454,0.09090909090909091,0.1818181872367859,25.5,35.6,8.0,43.6,8.184,0.3,0.20000000298023224,25.5,-5.0545444,-2.2727275,-1.6985459,0.01818181574344635,0.0,2.5,1,0,2,2015,0,10.0,20.0,2015_2_PHI_DAL
27.0,19.0,46.0,10.822858,0.42857142857142855,0.0,25.5,22.818182,11.272727,34.090908,5.776364,0.09090909090909091,0.09090909361839294,25.5,4.181818,7.727273,5.046494,0.09090909361839294,0.0,2.5,1,0,2,2015,1,27.0,17.0,2015_2_GB_SEA
24.3,6.4,30.699999,6.042,0.2,0.20000000298023224,25.5,22.375,19.25,41.625,8.807501,0.25,0.125,25.5,1.9249992,-12.85,-2.765501,-0.07500000298023224,0.0,2.5,1,0,2,2015,0,7.0,20.0,2015_2_IND_NYJ
24.05,9.8,33.85,5.5470004,0.1,0.0,25.5,19.0,16.333334,35.333336,5.5314283,0.09523809523809523,0.095238097012043,25.5,5.049999,-6.533334,0.015572071,0.095238097012043,0.0,2.5,1,0,3,2015,1,32.0,21.0,2015_3_NYG_WAS
23.857143,8.666667,32.52381,5.06381,0.09523809523809523,0.1428571492433548,25.5,25.421053,15.894737,41.31579,8.201053,0.2631578947368421,0.0,25.5,-1.5639095,-7.2280703,-3.1372428,-0.1428571492433548,0.0,2.5,1,0,3,2015,0,24.0,28.0,2015_3_BAL_CIN
18.5,13.85,32.35,5.575,0.15,0.10000000149011612,25.5,30.5,7.9,38.4,6.26,0.1,0.10000000149011612,25.5,-12.0,5.9500003,-0.6850004,0.0,0.0,2.5,1,0,3,2015,1,27.0,22.0,2015_3_CAR_NO
